ID,population,age,sex,measure,emotion,chose_emotion
S001,child,8.08607305936073,M,deepen,happy,1
S001,child,8.08607305936073,M,deepen,sad,1
S002,child,7.33607305936073,M,deepen,happy,1
S002,child,7.33607305936073,M,deepen,sad,0
S003,child,9.591552511415525,M,deepen,happy,0
S003,child,9.591552511415525,M,deepen,sad,0
S004,child,9.210502283105022,M,deepen,happy,0
S004,child,9.210502283105022,M,deepen,sad,0
S005,child,8.205022831050227,M,deepen,happy,1
S005,child,8.205022831050227,M,deepen,sad,1
S006,child,7.229680365296804,F,deepen,happy,1
S006,child,7.229680365296804,F,deepen,sad,1
S007,child,8.53013698630137,F,deepen,happy,0
S007,child,8.53013698630137,F,deepen,sad,1
S008,child,6.140867579908676,F,deepen,happy,1
S008,child,6.140867579908676,F,deepen,sad,0
S009,child,7.68310502283105,F,deepen,happy,1
S009,child,7.68310502283105,F,deepen,sad,0
S010,child,9.629908675799088,F,deepen,happy,1
S010,child,9.629908675799088,F,deepen,sad,0
S011,child,8.07945205479452,F,deepen,happy,1
S011,child,8.07945205479452,F,deepen,sad,1
S012,child,7.232420091324201,M,deepen,happy,0
S012,child,7.232420091324201,M,deepen,sad,0
S013,child,9.662785388127855,M,deepen,happy,1
S013,child,9.662785388127855,M,deepen,sad,1
S014,child,7.363470319634703,M,deepen,happy,0
S014,child,7.363470319634703,M,deepen,sad,0
S015,child,6.377168949771689,F,deepen,happy,0
S015,child,6.377168949771689,F,deepen,sad,1
S016,child,6.930365296803653,F,deepen,happy,0
S016,child,6.930365296803653,F,deepen,sad,0
S017,child,9.205022831050227,F,deepen,happy,1
S017,child,9.205022831050227,F,deepen,sad,1
S018,child,7.288356164383561,M,deepen,happy,0
S018,child,7.288356164383561,M,deepen,sad,1
S019,child,6.573972602739726,F,deepen,happy,0
S019,child,6.573972602739726,F,deepen,sad,0
S020,child,8.755479452054795,F,deepen,happy,1
S020,child,8.755479452054795,F,deepen,sad,0
S021,child,7.465981735159818,M,deepen,happy,0
S021,child,7.465981735159818,M,deepen,sad,1
